sessid,rat,date,tethered
713429,A230,15-Jul-2019 00:00:00,1
700993,A230,01-Jun-2019 00:00:00,0
701275,A230,02-Jun-2019 00:00:00,0
701581,A230,05-Jun-2019 00:00:00,0
701885,A230,06-Jun-2019 00:00:00,0
702187,A230,07-Jun-2019 00:00:00,0
702495,A230,08-Jun-2019 00:00:00,0
702687,A230,09-Jun-2019 00:00:00,0
702988,A230,10-Jun-2019 00:00:00,0
703302,A230,11-Jun-2019 00:00:00,0
703627,A230,12-Jun-2019 00:00:00,0
703949,A230,13-Jun-2019 00:00:00,0
704266,A230,14-Jun-2019 00:00:00,0
704577,A230,15-Jun-2019 00:00:00,0
705431,A230,18-Jun-2019 00:00:00,0
706031,A230,20-Jun-2019 00:00:00,0
706335,A230,21-Jun-2019 00:00:00,0
706647,A230,22-Jun-2019 00:00:00,0
706899,A230,23-Jun-2019 00:00:00,0
707178,A230,24-Jun-2019 00:00:00,0
707504,A230,25-Jun-2019 00:00:00,0
707788,A230,26-Jun-2019 00:00:00,0
708094,A230,27-Jun-2019 00:00:00,0
708120,A230,27-Jun-2019 00:00:00,0
708398,A230,28-Jun-2019 00:00:00,0
708710,A230,29-Jun-2019 00:00:00,0
708995,A230,30-Jun-2019 00:00:00,0
709276,A230,01-Jul-2019 00:00:00,0
713245,A241,15-Jul-2019 00:00:00,1
734656,A241,26-Sep-2019 00:00:00,1
737985,A241,09-Oct-2019 00:00:00,1
760297,A241,14-Jan-2020 00:00:00,1
762805,A241,22-Jan-2020 00:00:00,1
763087,A241,23-Jan-2020 00:00:00,1
721186,A241,12-Aug-2019 00:00:00,0
721486,A241,13-Aug-2019 00:00:00,0
721798,A241,14-Aug-2019 00:00:00,0
722104,A241,15-Aug-2019 00:00:00,0
722409,A241,16-Aug-2019 00:00:00,0
722722,A241,17-Aug-2019 00:00:00,0
723027,A241,18-Aug-2019 00:00:00,0
723333,A241,19-Aug-2019 00:00:00,0
723673,A241,20-Aug-2019 00:00:00,0
723995,A241,21-Aug-2019 00:00:00,0
724299,A241,22-Aug-2019 00:00:00,0
724609,A241,23-Aug-2019 00:00:00,0
724909,A241,24-Aug-2019 00:00:00,0
725229,A241,25-Aug-2019 00:00:00,0
725541,A241,26-Aug-2019 00:00:00,0
726176,A241,28-Aug-2019 00:00:00,0
726490,A241,29-Aug-2019 00:00:00,0
726794,A241,30-Aug-2019 00:00:00,0
727105,A241,31-Aug-2019 00:00:00,0
727394,A241,01-Sep-2019 00:00:00,0
727678,A241,02-Sep-2019 00:00:00,0
727873,A241,03-Sep-2019 00:00:00,0
728175,A241,04-Sep-2019 00:00:00,0
728487,A241,05-Sep-2019 00:00:00,0
728799,A241,06-Sep-2019 00:00:00,0
729108,A241,07-Sep-2019 00:00:00,0
729404,A241,08-Sep-2019 00:00:00,0
729707,A241,09-Sep-2019 00:00:00,0
730020,A241,10-Sep-2019 00:00:00,0
700519,A242,30-May-2019 00:00:00,1
700851,A242,31-May-2019 00:00:00,1
701531,A242,03-Jun-2019 00:00:00,1
692375,A242,02-May-2019 00:00:00,0
692682,A242,03-May-2019 00:00:00,0
692996,A242,04-May-2019 00:00:00,0
693281,A242,05-May-2019 00:00:00,0
693601,A242,06-May-2019 00:00:00,0
693910,A242,07-May-2019 00:00:00,0
694211,A242,08-May-2019 00:00:00,0
694518,A242,09-May-2019 00:00:00,0
694822,A242,10-May-2019 00:00:00,0
695115,A242,11-May-2019 00:00:00,0
695402,A242,12-May-2019 00:00:00,0
695705,A242,13-May-2019 00:00:00,0
695978,A242,14-May-2019 00:00:00,0
696289,A242,15-May-2019 00:00:00,0
696579,A242,16-May-2019 00:00:00,0
696915,A242,17-May-2019 00:00:00,0
697200,A242,18-May-2019 00:00:00,0
699306,A242,26-May-2019 00:00:00,0
699584,A242,27-May-2019 00:00:00,0
699943,A242,28-May-2019 00:00:00,0
699952,A242,28-May-2019 00:00:00,0
700230,A242,29-May-2019 00:00:00,0
700248,A242,29-May-2019 00:00:00,0
700519,A242,30-May-2019 00:00:00,0
700851,A242,31-May-2019 00:00:00,0
701137,A242,01-Jun-2019 00:00:00,0
738225,A243,10-Oct-2019 00:00:00,1
743494,A243,29-Oct-2019 00:00:00,1
744398,A243,01-Nov-2019 00:00:00,1
721960,A243,14-Aug-2019 00:00:00,0
722292,A243,15-Aug-2019 00:00:00,0
722605,A243,16-Aug-2019 00:00:00,0
722898,A243,17-Aug-2019 00:00:00,0
723207,A243,18-Aug-2019 00:00:00,0
723524,A243,19-Aug-2019 00:00:00,0
723855,A243,20-Aug-2019 00:00:00,0
724171,A243,21-Aug-2019 00:00:00,0
724501,A243,22-Aug-2019 00:00:00,0
724787,A243,23-Aug-2019 00:00:00,0
725111,A243,24-Aug-2019 00:00:00,0
725413,A243,25-Aug-2019 00:00:00,0
725702,A243,26-Aug-2019 00:00:00,0
726035,A243,27-Aug-2019 00:00:00,0
726356,A243,28-Aug-2019 00:00:00,0
726673,A243,29-Aug-2019 00:00:00,0
726991,A243,30-Aug-2019 00:00:00,0
727286,A243,31-Aug-2019 00:00:00,0
727568,A243,01-Sep-2019 00:00:00,0
728064,A243,03-Sep-2019 00:00:00,0
728375,A243,04-Sep-2019 00:00:00,0
728678,A243,05-Sep-2019 00:00:00,0
728983,A243,06-Sep-2019 00:00:00,0
729290,A243,07-Sep-2019 00:00:00,0
729594,A243,08-Sep-2019 00:00:00,0
729911,A243,09-Sep-2019 00:00:00,0
730195,A243,10-Sep-2019 00:00:00,0
730500,A243,11-Sep-2019 00:00:00,0
730808,A243,12-Sep-2019 00:00:00,0
768938,A249,11-Feb-2020 00:00:00,1
757347,A249,03-Jan-2020 00:00:00,0
757739,A249,05-Jan-2020 00:00:00,0
757923,A249,06-Jan-2020 00:00:00,0
758237,A249,07-Jan-2020 00:00:00,0
758504,A249,08-Jan-2020 00:00:00,0
758795,A249,09-Jan-2020 00:00:00,0
759115,A249,10-Jan-2020 00:00:00,0
759390,A249,11-Jan-2020 00:00:00,0
759689,A249,12-Jan-2020 00:00:00,0
759979,A249,13-Jan-2020 00:00:00,0
760276,A249,14-Jan-2020 00:00:00,0
760570,A249,15-Jan-2020 00:00:00,0
760602,A249,15-Jan-2020 00:00:00,0
760911,A249,16-Jan-2020 00:00:00,0
761553,A249,18-Jan-2020 00:00:00,0
761850,A249,19-Jan-2020 00:00:00,0
762156,A249,20-Jan-2020 00:00:00,0
762478,A249,21-Jan-2020 00:00:00,0
762774,A249,22-Jan-2020 00:00:00,0
763051,A249,23-Jan-2020 00:00:00,0
763396,A249,24-Jan-2020 00:00:00,0
763678,A249,25-Jan-2020 00:00:00,0
763996,A249,26-Jan-2020 00:00:00,0
699605,K265,27-May-2019 00:00:00,1
593754,K265,16-Apr-2018 00:00:00,0
594029,K265,17-Apr-2018 00:00:00,0
594328,K265,18-Apr-2018 00:00:00,0
594636,K265,19-Apr-2018 00:00:00,0
594946,K265,20-Apr-2018 00:00:00,0
595238,K265,21-Apr-2018 00:00:00,0
595523,K265,22-Apr-2018 00:00:00,0
595810,K265,23-Apr-2018 00:00:00,0
596117,K265,24-Apr-2018 00:00:00,0
596394,K265,25-Apr-2018 00:00:00,0
596746,K265,26-Apr-2018 00:00:00,0
597123,K265,27-Apr-2018 00:00:00,0
597466,K265,28-Apr-2018 00:00:00,0
597757,K265,29-Apr-2018 00:00:00,0
598021,K265,30-Apr-2018 00:00:00,0
598326,K265,01-May-2018 00:00:00,0
598617,K265,02-May-2018 00:00:00,0
598911,K265,03-May-2018 00:00:00,0
599204,K265,04-May-2018 00:00:00,0
599511,K265,05-May-2018 00:00:00,0
599777,K265,06-May-2018 00:00:00,0
600052,K265,07-May-2018 00:00:00,0
600363,K265,08-May-2018 00:00:00,0
600680,K265,09-May-2018 00:00:00,0
600964,K265,10-May-2018 00:00:00,0
601224,K265,11-May-2018 00:00:00,0
601498,K265,12-May-2018 00:00:00,0
601764,K265,13-May-2018 00:00:00,0
602034,K265,14-May-2018 00:00:00,0
602305,K265,15-May-2018 00:00:00,0
602583,K265,16-May-2018 00:00:00,0
593883,T173,16-Apr-2018 00:00:00,1
565912,T173,03-Jan-2018 00:00:00,0
566241,T173,05-Jan-2018 00:00:00,0
