rat,tethered,sens,bias,gamma0,gamma1,lapse,n_trials,prct_correct,trials_done,abs_bias
A230,0,0.149712966639939,-1.62731451579126,11.9883803832554,76.2822005725676,11.8588997137162,10503,75.3403789393507,406,1.62731451579126
A230,1,0.145474331411005,-5.20020485427013,4.75586057509235,88.9062220290534,5.54688898547331,143,76.9230769230769,143,5.20020485427013
A241,0,0.14153130907218,-3.56434284740592,14.635178951019,60.6192709931115,19.6903645034443,5061,70.4801422643746,129,3.56434284740592
A241,1,0.108431305418911,-4.2215825229945,3.40388513158308e-07,86.109490794888,6.94525460255599,1225,75.9183673469388,195,4.2215825229945
A242,0,0.13127659535644,-5.12016270101486,6.94660830353291,68.3664710963414,15.8167644518293,9837,71.2920605875775,385,5.12016270101486
A242,1,0.185455459593887,-1.84825169915882,26.2373702871646,57.8672082282873,21.0663958858563,908,71.0352422907489,205,1.84825169915882
A243,0,0.11641630772407,1.02078685764785,20.9344857851679,51.2878955108609,24.3560522445696,10606,65.8778050160287,409.5,1.02078685764785
A243,1,0.130011638991,-1.60457779138986,18.9245818449465,64.9645277816303,17.5177361091848,1707,70.8260105448155,578,1.60457779138986
A249,0,0.112177860624168,0.292254175213907,24.3487743045503,61.620805082363,19.1895974588185,5948,69.0820443846671,201,0.292254175213907
A249,1,2.24175212653729,-7.62402264483119,11.1965947514592,63.2776575365987,18.3611712317007,360,80,360,7.62402264483119
K265,0,0.14828504983823,-0.375637229043235,21.8008286383037,50.6713518794809,24.6643240602596,6007,66.1561511569835,193.5,0.375637229043235
K265,1,0.121125953490758,6.05933738429671,17.6710437679734,74.9726042509028,12.5136978745486,852,72.1830985915493,253,6.05933738429671
T170,0,0.0923924816190227,1.98804317394274,24.0510733592931,50.7224313348755,24.6387843325622,7386,68.1695098835635,232.5,1.98804317394274
T170,1,0.128325588249929,-0.212366195630596,26.3370983622749,38.6117483928528,30.6941258035736,1586,63.3039092055485,376.5,0.212366195630596
T173,0,0.115768935528706,-0.56829238625653,15.1239725189229,69.5018455910266,15.2490772044867,19911,71.1114459344081,677.5,0.56829238625653
T173,1,0.110515371171424,0.19408808871991,9.84214875605698,88.188287178286,5.90585641085698,1263,76.326207442597,1263,0.19408808871991
T176,0,0.249051694704688,-0.03475103907566,3.70508830205742,89.6631415341046,5.16842923294772,10533,85.8824646349568,430,0.03475103907566
T176,1,0.243245441812933,-1.59318810711081,1.39061533196796,97.0444739731654,1.4777630134173,6957,88.4576685352882,545,1.59318810711081
T179,0,0.186539660036577,3.98196342400992,22.5178228687583,52.7864714723485,23.6067642638258,10883,68.675916567123,382,3.98196342400992
T179,1,0.144725407764859,4.53211309899761,16.7456254835245,68.3696364879236,15.8151817560382,3398,71.9835197174809,602,4.53211309899761
T181,0,0.162295808908908,0.574361021550565,15.3384774126527,65.7837487971678,17.1081256014161,14934,73.2824427480916,531,0.574361021550565
T181,1,0.0874630768598552,7.33945743351323,23.2413212234886,55.1108430930949,22.4445784534525,14916,62.7715205148833,315,7.33945743351323
T182,0,0.182639204235379,-3.22609763787996,37.3710545531814,35.4900047293803,32.2549976353099,7110,62.4331926863572,289,3.22609763787996
T182,1,0.0518916861034509,7.03547454858902,33.2979054237174,44.8540378351877,27.5729810824061,6801,59.5794736068225,271.5,7.03547454858902
T196,0,0.0349685502331463,30.9888672425728,31.1391752782643,62.5157675811875,18.7421162094062,9147,63.3541051710943,339,30.9888672425728
T196,1,2.58352385703463,-2.68722154161144,5.21234606380088,0.000757756591120259,49.9996211217044,230,40,115,2.68722154161144
T209,0,0.110530080903769,-3.55191598772832,18.1453793134935,49.1808269150453,25.4095865424773,5472,64.0716374269006,225.5,3.55191598772832
T209,1,0.12547310226331,0.466881745297314,20.3202041926068,57.3614543473183,21.3192728263409,820,68.0487804878049,216,0.466881745297314
T212,0,0.170709248015487,-2.07604038440225,15.5844917846239,59.1997896986252,20.4001051506874,6037,71.4924631439457,224.5,2.07604038440225
T212,1,0.172230852283873,-3.31701200529746,2.28546144420677,89.5315432551396,5.23422837243022,4240,81.0377358490566,451.5,3.31701200529746
T219,0,0.172546508934108,-0.542095743023712,17.8159740350041,73.6867674727008,13.1566162636496,7158,75.8731489242805,263,0.542095743023712
T219,1,0.135407721634957,0.268070484928736,2.31121950546162,94.3903601648693,2.80481991756535,11355,80.1409070893879,429,0.268070484928736
T223,0,0.185676593426648,-1.32435163533551,5.83058766108365,79.756346023001,10.1218269884995,8579,79.7761976920387,280,1.32435163533551
T223,1,0.165457894522816,-0.0772695217253555,5.61531988922677,88.5984167519928,5.70079162400359,14571,81.325921350628,453.5,0.0772695217253555
T224,0,0.195931982709792,-5.04759933177357,24.8722215311847,42.5883528588168,28.7058235705916,11172,66.0132474042249,389.5,5.04759933177357
T224,1,0.164108847233053,-1.05528456248364,4.58172396278765,94.3889885205815,2.80550573970924,854,85.3629976580796,854,1.05528456248364
T227,0,0.159433165282286,-3.31526070588368,4.99911766280284,83.2823987465826,8.35880062670869,9296,78.894148020654,379,3.31526070588368
T227,1,0.153419181593186,-2.96644939048818,1.12452116218199,89.2960338335438,5.3519830832281,1226,81.4029363784666,308,2.96644939048818
T249,0,0.196276709549034,4.60071461028285,16.1679968031398,55.2698463232935,22.3650768383532,1916,67.6931106471816,214,4.60071461028285
T249,1,0.196159316636033,0.914286405562117,7.20329231437296,88.341738097885,5.82913095105752,441,83.9002267573696,220.5,0.914286405562117
