session_date,rat_name,recording_id,sensor,duration_min,is_processed,has_Cells,has_Trials,sorted_using,sorted_path,n_units,n_units_each_area,probe_sn,Cells_path,Trials_path
16-May-19,K265,K265_2019_05_16_600s,Neuropixels,10,0,0,0,Kilosort2,X:\RATTER\PhysData\NP_sorted\Chuck\K265\K265_2019_05_16_600s\spikesort_2020_03_13_19_41_38_ks2jrc,1366,Str(1366),17131311562,X:\RATTER\PhysData\NP_sorted\Chuck\K265\K265_2019_05_16_600s\spikesort_2020_03_13_19_41_38_ks2jrc\K265_2019_05_16_600s_Cells.mat,
21-May-19,K265,K265_2019_05_21_600s,Neuropixels,10,0,0,0,Kilosort2,X:\RATTER\PhysData\NP_sorted\Chuck\K265\K265_2019_05_21_600s\spikesort_2020_03_13_19_55_32_ks2jrc,188,Str(188),17131311562,X:\RATTER\PhysData\NP_sorted\Chuck\K265\K265_2019_05_21_600s\spikesort_2020_03_13_19_55_32_ks2jrc\K265_2019_05_21_600s_Cells.mat,
24-May-19,K265,K265_2019_05_24_600s,Neuropixels,10,0,0,0,Kilosort2,X:\RATTER\PhysData\NP_sorted\Chuck\K265\K265_2019_05_24_600s\spikesort_2020_03_13_20_01_38_ks2jrc,202,Str(202),17131311562,X:\RATTER\PhysData\NP_sorted\Chuck\K265\K265_2019_05_24_600s\spikesort_2020_03_13_20_01_38_ks2jrc\K265_2019_05_24_600s_Cells.mat,
11-Jun-19,K265,K265_2019_06_11_600s,Neuropixels,10,0,0,0,Kilosort2,X:\RATTER\PhysData\NP_sorted\Chuck\K265\K265_2019_06_11_600s\spikesort_2020_03_13_20_04_19_ks2jrc,50,Str(50),17131311562,X:\RATTER\PhysData\NP_sorted\Chuck\K265\K265_2019_06_11_600s\spikesort_2020_03_13_20_04_19_ks2jrc\K265_2019_06_11_600s_Cells.mat,
8-Jul-19,K265,K265_2019_07_08,Neuropixels,11,0,0,0,Kilosort2,X:\RATTER\PhysData\NP_sorted\Chuck\K265\K265_2019_07_08\spikesort_2020_03_13_20_23_09_ks2jrc,39,Str(39),17131311562,X:\RATTER\PhysData\NP_sorted\Chuck\K265\K265_2019_07_08\spikesort_2020_03_13_20_23_09_ks2jrc\K265_2019_07_08_Cells.mat,
22-Feb-18,T170,T170_2018_02_22,Neuropixels,4,0,0,0,Kilosort2,X:\RATTER\PhysData\NP_sorted\Thomas\T170\T170_2018_02_22\spikesort_2020_03_13_20_32_00_ks2jrc,1307,En(212) Pir(69) Str(1026),619040823,X:\RATTER\PhysData\NP_sorted\Thomas\T170\T170_2018_02_22\spikesort_2020_03_13_20_32_00_ks2jrc\T170_2018_02_22_Cells.mat,
23-Feb-18,T170,T170_2018_02_23,Neuropixels,5,0,0,0,Kilosort2,X:\RATTER\PhysData\NP_sorted\Thomas\T170\T170_2018_02_23\spikesort_2020_03_13_22_05_26_ks2jrc,576,En(90) Pir(33) Str(453),619040823,X:\RATTER\PhysData\NP_sorted\Thomas\T170\T170_2018_02_23\spikesort_2020_03_13_22_05_26_ks2jrc\T170_2018_02_23_Cells.mat,
26-Feb-18,T170,T170_2018_02_26,Neuropixels,9,0,0,0,Kilosort2,X:\RATTER\PhysData\NP_sorted\Thomas\T170\T170_2018_02_26\spikesort_2020_03_13_22_17_36_ks2jrc,510,En(117) Pir(28) Str(365),619040823,X:\RATTER\PhysData\NP_sorted\Thomas\T170\T170_2018_02_26\spikesort_2020_03_13_22_17_36_ks2jrc\T170_2018_02_26_Cells.mat,
28-Feb-18,T170,T170_2018_02_28,Neuropixels,13,0,0,0,Kilosort2,X:\RATTER\PhysData\NP_sorted\Thomas\T170\T170_2018_02_28\spikesort_2020_03_13_22_25_39_ks2jrc,265,En(91) Pir(18) Str(156),619040823,X:\RATTER\PhysData\NP_sorted\Thomas\T170\T170_2018_02_28\spikesort_2020_03_13_22_25_39_ks2jrc\T170_2018_02_28_Cells.mat,
16-Mar-18,T170,T170_2018_03_16_600s,Neuropixels,10,0,0,0,Kilosort2,X:\RATTER\PhysData\NP_sorted\Thomas\T170\T170_2018_03_16_600s\spikesort_2020_03_13_22_33_31_ks2jrc,408,En(86) Pir(31) Str(291),619040823,X:\RATTER\PhysData\NP_sorted\Thomas\T170\T170_2018_03_16_600s\spikesort_2020_03_13_22_33_31_ks2jrc\T170_2018_03_16_600s_Cells.mat,
17-Apr-18,T170,T170_2018_04_17_600s,Neuropixels,10,0,0,0,Kilosort2,X:\RATTER\PhysData\NP_sorted\Thomas\T170\T170_2018_04_17_600s\spikesort_2020_03_13_22_36_02_ks2jrc,32,En(25) Str(7),619040823,X:\RATTER\PhysData\NP_sorted\Thomas\T170\T170_2018_04_17_600s\spikesort_2020_03_13_22_36_02_ks2jrc\T170_2018_04_17_600s_Cells.mat,
11-Sep-18,T170,T170_2018_09_11,Neuropixels,5,0,0,0,Kilosort2,X:\RATTER\PhysData\NP_sorted\Thomas\T170\T170_2018_09_11\spikesort_2020_03_14_09_30_03_ks2jrc,21,En(18) Str(3),619040823,X:\RATTER\PhysData\NP_sorted\Thomas\T170\T170_2018_09_11\spikesort_2020_03_14_09_30_03_ks2jrc\T170_2018_09_11_Cells.mat,
16-Mar-18,T173,T173_2018_03_16_bank1_600s,Neuropixels,10,0,0,0,Kilosort2,X:\RATTER\PhysData\NP_sorted\Thomas\T173\T173_2018_03_16_bank1_600s\spikesort_2020_03_14_09_43_26_ks2jrc,543,M2(380) Str(163),641252141,X:\RATTER\PhysData\NP_sorted\Thomas\T173\T173_2018_03_16_bank1_600s\spikesort_2020_03_14_09_43_26_ks2jrc\T173_2018_03_16_bank1_600s_Cells.mat,
19-Mar-18,T173,T173_2018_03_19_bank0_600s,Neuropixels,10,0,0,0,Kilosort2,X:\RATTER\PhysData\NP_sorted\Thomas\T173\T173_2018_03_19_bank0_600s\spikesort_2020_03_14_10_02_24_ks2jrc,812,En(184) Pir(31) Str(597),641252141,X:\RATTER\PhysData\NP_sorted\Thomas\T173\T173_2018_03_19_bank0_600s\spikesort_2020_03_14_10_02_24_ks2jrc\T173_2018_03_19_bank0_600s_Cells.mat,
11-Apr-18,T173,T173_2018_04_11_bank1_600s,Neuropixels,10,0,0,0,Kilosort2,X:\RATTER\PhysData\NP_sorted\Thomas\T173\T173_2018_04_11_bank1_600s\spikesort_2020_03_14_21_37_50_ks2jrc,382,M2(266) Str(116),641252141,X:\RATTER\PhysData\NP_sorted\Thomas\T173\T173_2018_04_11_bank1_600s\spikesort_2020_03_14_21_37_50_ks2jrc\T173_2018_04_11_bank1_600s_Cells.mat,
16-Apr-18,T173,T173_2018_04_16_bank0_600s,Neuropixels,10,0,0,0,Kilosort2,X:\RATTER\PhysData\NP_sorted\Thomas\T173\T173_2018_04_16_bank0_600s\spikesort_2020_03_14_21_57_32_ks2jrc,756,En(189) Pir(30) Str(537),641252141,X:\RATTER\PhysData\NP_sorted\Thomas\T173\T173_2018_04_16_bank0_600s\spikesort_2020_03_14_21_57_32_ks2jrc\T173_2018_04_16_bank0_600s_Cells.mat,
6-Apr-18,T176,T176_2018_04_06,Neuropixels,6,0,0,0,Kilosort2,X:\RATTER\PhysData\NP_sorted\Thomas\T176\T176_2018_04_06\spikesort_2020_03_14_22_11_17_ks2jrc,1107,Cg1(232) M2(200) MO(86) PrL(589),619040938,X:\RATTER\PhysData\NP_sorted\Thomas\T176\T176_2018_04_06\spikesort_2020_03_14_22_11_17_ks2jrc\T176_2018_04_06_Cells.mat,
11-Apr-18,T176,T176_2018_04_11,Neuropixels,3,0,0,0,Kilosort2,X:\RATTER\PhysData\NP_sorted\Thomas\T176\T176_2018_04_11\spikesort_2020_03_14_22_17_20_ks2jrc,690,Cg1(157) M2(119) MO(64) PrL(350),619040938,X:\RATTER\PhysData\NP_sorted\Thomas\T176\T176_2018_04_11\spikesort_2020_03_14_22_17_20_ks2jrc\T176_2018_04_11_Cells.mat,
20-Apr-18,T176,T176_2018_04_20_idle,Neuropixels,4,0,0,0,Kilosort2,X:\RATTER\PhysData\NP_sorted\Thomas\T176\T176_2018_04_20_idle\spikesort_2020_03_14_22_23_26_ks2jrc,476,Cg1(96) M2(43) MO(35) PrL(302),619040938,X:\RATTER\PhysData\NP_sorted\Thomas\T176\T176_2018_04_20_idle\spikesort_2020_03_14_22_23_26_ks2jrc\T176_2018_04_20_idle_Cells.mat,
23-Apr-18,T176,T176_2018_04_23_600s,Neuropixels,10,0,0,0,Kilosort2,X:\RATTER\PhysData\NP_sorted\Thomas\T176\T176_2018_04_23_600s\spikesort_2020_03_14_22_33_54_ks2jrc,405,Cg1(79) M2(33) MO(44) PrL(249),619040938,X:\RATTER\PhysData\NP_sorted\Thomas\T176\T176_2018_04_23_600s\spikesort_2020_03_14_22_33_54_ks2jrc\T176_2018_04_23_600s_Cells.mat,
1-May-18,T176,T176_2018_05_01_600s,Neuropixels,10,0,0,0,Kilosort2,X:\RATTER\PhysData\NP_sorted\Thomas\T176\T176_2018_05_01_600s\spikesort_2020_03_14_22_44_09_ks2jrc,396,Cg1(89) M2(5) MO(38) PrL(264),619040938,X:\RATTER\PhysData\NP_sorted\Thomas\T176\T176_2018_05_01_600s\spikesort_2020_03_14_22_44_09_ks2jrc\T176_2018_05_01_600s_Cells.mat,
2-May-18,T176,T176_2018_05_02_600s,Neuropixels,10,0,0,0,Kilosort2,X:\RATTER\PhysData\NP_sorted\Thomas\T176\T176_2018_05_02_600s\spikesort_2020_03_14_22_58_01_ks2jrc,580,Cg1(105) M2(112) MO(48) PrL(315),619040938,X:\RATTER\PhysData\NP_sorted\Thomas\T176\T176_2018_05_02_600s\spikesort_2020_03_14_22_58_01_ks2jrc\T176_2018_05_02_600s_Cells.mat,
7-May-18,T176,T176_2018_05_07_600s,Neuropixels,10,0,0,0,Kilosort2,X:\RATTER\PhysData\NP_sorted\Thomas\T176\T176_2018_05_07_600s\spikesort_2020_03_14_23_11_32_ks2jrc,561,Cg1(110) M2(88) MO(51) PrL(312),619040938,X:\RATTER\PhysData\NP_sorted\Thomas\T176\T176_2018_05_07_600s\spikesort_2020_03_14_23_11_32_ks2jrc\T176_2018_05_07_600s_Cells.mat,
6-Jun-18,T176,T176_2018_06_06_600s,Neuropixels,10,0,0,0,Kilosort2,X:\RATTER\PhysData\NP_sorted\Thomas\T176\T176_2018_06_06_600s\spikesort_2020_03_14_23_25_50_ks2jrc,572,Cg1(126) M2(78) MO(60) PrL(308),619040938,X:\RATTER\PhysData\NP_sorted\Thomas\T176\T176_2018_06_06_600s\spikesort_2020_03_14_23_25_50_ks2jrc\T176_2018_06_06_600s_Cells.mat,
19-Jun-18,T176,T176_2018_06_19_600s,Neuropixels,10,0,0,0,Kilosort2,X:\RATTER\PhysData\NP_sorted\Thomas\T176\T176_2018_06_19_600s\spikesort_2020_03_14_23_40_20_ks2jrc,574,Cg1(130) M2(72) MO(53) PrL(319),619040938,X:\RATTER\PhysData\NP_sorted\Thomas\T176\T176_2018_06_19_600s\spikesort_2020_03_14_23_40_20_ks2jrc\T176_2018_06_19_600s_Cells.mat,
23-Jan-19,T179,T179_2019_01_23_bank0_600s,Neuropixels,10,0,0,0,Kilosort2,X:\RATTER\PhysData\NP_sorted\Thomas\T179\T179_2019_01_23_bank0_600s\spikesort_2020_03_13_16_41_14_ks2jrc,168,ECIC(135) MiTG(14) Post(19),17131311342,X:\RATTER\PhysData\NP_sorted\Thomas\T179\T179_2019_01_23_bank0_600s\spikesort_2020_03_13_16_41_14_ks2jrc\T179_2019_01_23_bank0_600s_Cells.mat,
21-Mar-19,T179,T179_2019_03_21_600s,Neuropixels,10,0,0,0,Kilosort2,X:\RATTER\PhysData\NP_sorted\Thomas\T179\T179_2019_03_21_600s\spikesort_2020_03_13_16_52_49_ks2jrc,11,ECIC(8) Post(3),17131311342,X:\RATTER\PhysData\NP_sorted\Thomas\T179\T179_2019_03_21_600s\spikesort_2020_03_13_16_52_49_ks2jrc\T179_2019_03_21_600s_Cells.mat,
24-May-18,T181,T181_2018_05_24_idle_bank0,Neuropixels,15,0,0,0,Kilosort2,X:\RATTER\PhysData\NP_sorted\Thomas\T181\T181_2018_05_24_idle_bank0\spikesort_2020_03_12_20_05_34_ks2jrc,452,En(104) Pir(30) Str(318),17131306102,X:\RATTER\PhysData\NP_sorted\Thomas\T181\T181_2018_05_24_idle_bank0\spikesort_2020_03_12_20_05_34_ks2jrc\T181_2018_05_24_idle_bank0_Cells.mat,
24-May-18,T181,T181_2018_05_24_idle_bank1,Neuropixels,17,0,0,0,Kilosort2,X:\RATTER\PhysData\NP_sorted\Thomas\T181\T181_2018_05_24_idle_bank1\spikesort_2020_03_12_20_15_28_ks2jrc,476,En(109) Pir(23) Str(344),17131306102,X:\RATTER\PhysData\NP_sorted\Thomas\T181\T181_2018_05_24_idle_bank1\spikesort_2020_03_12_20_15_28_ks2jrc\T181_2018_05_24_idle_bank1_Cells.mat,
25-May-18,T181,T181_2018_05_25_idle_bank0,Neuropixels,14,0,0,0,Kilosort2,X:\RATTER\PhysData\NP_sorted\Thomas\T181\T181_2018_05_25_idle_bank0\spikesort_2020_03_12_20_28_36_ks2jrc,651,En(99) Pir(25) Str(527),17131306102,X:\RATTER\PhysData\NP_sorted\Thomas\T181\T181_2018_05_25_idle_bank0\spikesort_2020_03_12_20_28_36_ks2jrc\T181_2018_05_25_idle_bank0_Cells.mat,
25-May-18,T181,T181_2018_05_25_idle_bank1,Neuropixels,17,0,0,0,Kilosort2,X:\RATTER\PhysData\NP_sorted\Thomas\T181\T181_2018_05_25_idle_bank1\spikesort_2020_03_12_20_42_15_ks2jrc,507,M2(380) Str(127),17131306102,X:\RATTER\PhysData\NP_sorted\Thomas\T181\T181_2018_05_25_idle_bank1\spikesort_2020_03_12_20_42_15_ks2jrc\T181_2018_05_25_idle_bank1_Cells.mat,
26-May-18,T181,T181_2018_05_26_idle_bank0,Neuropixels,17,0,0,0,Kilosort2,X:\RATTER\PhysData\NP_sorted\Thomas\T181\T181_2018_05_26_idle_bank0\spikesort_2020_03_12_20_55_53_ks2jrc,525,En(69) Pir(18) Str(438),17131306102,X:\RATTER\PhysData\NP_sorted\Thomas\T181\T181_2018_05_26_idle_bank0\spikesort_2020_03_12_20_55_53_ks2jrc\T181_2018_05_26_idle_bank0_Cells.mat,
26-May-18,T181,T181_2018_05_26_idle_bank1,Neuropixels,23,0,0,0,Kilosort2,X:\RATTER\PhysData\NP_sorted\Thomas\T181\T181_2018_05_26_idle_bank1\spikesort_2020_03_12_21_10_37_ks2jrc,650,M2(550) Str(100),17131306102,X:\RATTER\PhysData\NP_sorted\Thomas\T181\T181_2018_05_26_idle_bank1\spikesort_2020_03_12_21_10_37_ks2jrc\T181_2018_05_26_idle_bank1_Cells.mat,
31-May-18,T181,T181_2018_05_31_idle_bank0,Neuropixels,17,0,0,0,Kilosort2,X:\RATTER\PhysData\NP_sorted\Thomas\T181\T181_2018_05_31_idle_bank0\spikesort_2020_03_12_21_24_20_ks2jrc,587,En(61) Pir(10) Str(516),17131306102,X:\RATTER\PhysData\NP_sorted\Thomas\T181\T181_2018_05_31_idle_bank0\spikesort_2020_03_12_21_24_20_ks2jrc\T181_2018_05_31_idle_bank0_Cells.mat,
31-May-18,T181,T181_2018_05_31_idle_bank1,Neuropixels,20,0,0,0,Kilosort2,X:\RATTER\PhysData\NP_sorted\Thomas\T181\T181_2018_05_31_idle_bank1\spikesort_2020_03_12_21_33_46_ks2jrc,268,M2(64) Str(204),17131306102,X:\RATTER\PhysData\NP_sorted\Thomas\T181\T181_2018_05_31_idle_bank1\spikesort_2020_03_12_21_33_46_ks2jrc\T181_2018_05_31_idle_bank1_Cells.mat,
8-Jun-18,T181,T181_2018_06_08_idle_bank0,Neuropixels,16,0,0,0,Kilosort2,X:\RATTER\PhysData\NP_sorted\Thomas\T181\T181_2018_06_08_idle_bank0\spikesort_2020_03_12_21_44_41_ks2jrc,496,En(73) Pir(7) Str(416),17131306102,X:\RATTER\PhysData\NP_sorted\Thomas\T181\T181_2018_06_08_idle_bank0\spikesort_2020_03_12_21_44_41_ks2jrc\T181_2018_06_08_idle_bank0_Cells.mat,
8-Jun-18,T181,T181_2018_06_08_idle_bank1,Neuropixels,19,0,0,0,Kilosort2,X:\RATTER\PhysData\NP_sorted\Thomas\T181\T181_2018_06_08_idle_bank1\spikesort_2020_03_12_21_53_27_ks2jrc,273,M2(74) Str(199),17131306102,X:\RATTER\PhysData\NP_sorted\Thomas\T181\T181_2018_06_08_idle_bank1\spikesort_2020_03_12_21_53_27_ks2jrc\T181_2018_06_08_idle_bank1_Cells.mat,
15-Jun-18,T181,T181_2018_06_15_idle_bank0,Neuropixels,16,0,0,0,Kilosort2,X:\RATTER\PhysData\NP_sorted\Thomas\T181\T181_2018_06_15_idle_bank0\spikesort_2020_03_12_22_05_01_ks2jrc,573,En(89) Pir(19) Str(465),17131306102,X:\RATTER\PhysData\NP_sorted\Thomas\T181\T181_2018_06_15_idle_bank0\spikesort_2020_03_12_22_05_01_ks2jrc\T181_2018_06_15_idle_bank0_Cells.mat,
15-Jun-18,T181,T181_2018_06_15_idle_bank1,Neuropixels,16,0,0,0,Kilosort2,X:\RATTER\PhysData\NP_sorted\Thomas\T181\T181_2018_06_15_idle_bank1\spikesort_2020_03_12_22_12_05_ks2jrc,222,M2(73) Str(149),17131306102,X:\RATTER\PhysData\NP_sorted\Thomas\T181\T181_2018_06_15_idle_bank1\spikesort_2020_03_12_22_12_05_ks2jrc\T181_2018_06_15_idle_bank1_Cells.mat,
19-Jun-18,T181,T181_2018_06_19_idle_bank0,Neuropixels,17,0,0,0,Kilosort2,X:\RATTER\PhysData\NP_sorted\Thomas\T181\T181_2018_06_19_idle_bank0\spikesort_2020_03_12_22_23_07_ks2jrc,503,En(72) Pir(19) Str(412),17131306102,X:\RATTER\PhysData\NP_sorted\Thomas\T181\T181_2018_06_19_idle_bank0\spikesort_2020_03_12_22_23_07_ks2jrc\T181_2018_06_19_idle_bank0_Cells.mat,
