recording_name,rat_name,date,channel_map,reference,used_in_chronic_npx_ms,cells_file,task,notes,probe serial number,ap.bin SHA1,sorted,perturbation,artifacts,representative behavior session,approximate duration (s)
A230_2019_07_11a,A230,2019_07_11,bank0,,0,,PBups,"only a few dozen trials, restarted recording",17131308571,,0,,,,
A230_2019_07_11b,A230,2019_07_11,bank0,,0,,PBups,"260 trials, 65% correct",17131308571,,0,,,,
A230_bank0_2019_07_11b_17131308571_short,A230,2019_07_11,bank0,,1,X:\RATTER\PhysData\NP_sorted\Adrian\A230\A230_bank0_2019_07_11b_17131308571_short\spikesort_2020_03_12_17_50_58_ks2jrc\2019-07-11_2_g0_t0.exported.imec1.ap_not_curated.Cells.mat,PBups,first ten minutes only,17131308571,,0,,,,
A230_2019_07_15,A230,2019_07_15,bank0,,0,,PBups,"400+ trials, 80% correct. this is really the only useable session with behavior.",17131308571,,1,,,1,
A230_bank0_2019_07_15_17131308571_short,A230,2019_07_15,bank0,,1,X:\RATTER\PhysData\NP_sorted\Adrian\A230\A230_bank0_2019_07_15_17131308571_short\spikesort_2020_03_12_17_05_14_ks2jrc\2019-07-15_g0_t0.exported.imec0.ap_not_curated.Cells.mat,PBups,first ten minutes only,17131308571,,1,,,1,
A230_bank0_2019_07_04,A230,2019_07_04,bank0,,0,,idle,only recorded for 3 min. dummy. not enough to include in fig 2.,"17131308411, 17131308571",,0,,,,
A230_bank0_2019_07_06,A230,2019_07_06,bank0,,1,X:\RATTER\PhysData\NP_sorted\Adrian\A230\A230_bank0_2019_07_06\2019-07-06_g0_imec1\spikesort_2020_03_12_16_54_50_ks2jrc\2019-07-06_g0_t0.imec1.ap_not_curated.Cells.mat,idle,very few cells. but only a five min session. looks like cell count really did increase over the first week or two.,"17131308411, 17131308571",,1,,,,
A241_2019_09_25,A241,2019_09_25,"banks0,1checkerboard",,,,PBups,,18194823631,,1,,,,
A241_2019_09_26,A241,2019_09_26,"banks0,1checkerboard",,,,PBups,"very few cells, esp. deep. 222 trials, 78% correct.",18194823302,,1,,,1,
A241_2019_10_09,A241,2019_10_09,checkerboard of some kind,,,,PBups,325 trials (85% correct),"18194823631, 18194823302",,1,,,1,
A241_2019_11_13,A241,2019_11_13,checkerboard of some kind,,,,PBups,"breathing noise still there, lowered gain to lowest and that removed the weird cutting out on 23302. but then that probe just broke and went crazy half way through the session anyway. like 50 trials again.","18194823631, 18194823302",,1,,,,
A241_2020_01_14,A241,2020_01_14,checkerboard 17,,,,PBups,almost 600 trials and 76% correct and lots of cells. best session yet. drifty session with a very dense part that was not well sorted. checkerboard didn't help.,18194823631,,1,,,1,
A241_2020_01_22,A241,2020_01_22,checkerboard 15,,,,PBups,"350 trials, good performance",18194823631,,1,,,1,
A241_2020_01_23,A241,2020_01_23,"banks0,1checkerboard",,,,PBups,"around 200 trials, 79% correct.",18194823631,,1,,,1,
A241_bank0_2019_09_14,A241,2019_09_14,bank0,,1,X:\RATTER\PhysData\NP_sorted\Adrian\A241\A241_bank0_2019_09_14\A241_2019-09-14_g0_imec0\spikesort_2019_10_11_11_12_25_ks2jrc\A241_2019-09-14_g0_t0.imec0.ap_res.Cells.mat,idle,,18194823302,,1,,,,
A241_bank0_2019_09_17,A241,2019_09_17,bank0,,1,X:\RATTER\PhysData\NP_sorted\Adrian\A241\A241_bank0_2019_09_17\2019-09-17_g0_imec0\spikesort_2019_10_14_15_51_49_ks2jrc\2019-09-17_g0_t0.imec0.ap_res.Cells.mat,idle,,18194823631,,1,,,,
A241_bank0_2019_09_23,A241,2019_09_23,bank0,,1,X:\RATTER\PhysData\NP_sorted\Adrian\A241\A241_bank0_2019_09_23\2019-09-23_g0_imec0\spikesort_2019_10_17_16_15_57_ks2jrc\2019-09-23_g0_t0.imec0.ap_res.Cells.mat,idle,,18194823302,,1,,,,
A241_bank0_2019_09_30,A241,2019_09_30,bank0,,1,X:\RATTER\PhysData\NP_sorted\Adrian\A241\A241_bank0_2019_09_30\2019-09-30_g0_imec0\spikesort_2019_10_14_16_28_05_ks2jrc\2019-09-30_g0_t0.imec0.ap_res.Cells.mat,idle,reasonably good number of cells. super low noise. but no trials :( also i didn't start recording until a few violation trials in so things may crash. but no trials anyway so it doesn't matter. maybe not surprising since first day back since break due to lab cleanup). absolutely nothing until channel 110 on bank 0. bank 1 has most of the cells now. bank 0 has basically nothing. and the most superficial cells are all gone. i think the best arrangement going forward is lowest electrode being 110 bank 0 checkerboard.,18194823631,,1,,,,
A241_bank1_2019_09_14,A241,2019_09_14,bank1,,1,X:\RATTER\PhysData\NP_sorted\Adrian\A241\A241_bank1_2019_09_14\A241_2019-09-14_g0_imec0\spikesort_2019_10_11_11_32_25_ks2jrc\A241_2019-09-14_g0_t0.imec0.ap_res.Cells.mat,idle,,18194823302,,1,,,,
A241_bank1_2019_09_17,A241,2019_09_17,bank1,,1,X:\RATTER\PhysData\NP_sorted\Adrian\A241\A241_bank1_2019_09_17\2019-09-17_g0_imec0\spikesort_2019_10_14_15_58_00_ks2jrc\2019-09-17_g0_t0.imec0.ap_res.Cells.mat,idle,,18194823631,,1,,,,
A241_bank1_2019_09_23,A241,2019_09_23,bank1,,1,X:\RATTER\PhysData\NP_sorted\Adrian\A241\A241_bank1_2019_09_23\2019-09-23_g0_imec0\spikesort_2019_10_17_16_24_35_ks2jrc\2019-09-23_g0_t0.imec0.ap_res.Cells.mat,idle,,18194823302,,1,,,,
A241_bank1_2019_09_30,A241,2019_09_30,bank1,,1,X:\RATTER\PhysData\NP_sorted\Adrian\A241\A241_bank1_2019_09_30\2019-09-30_g0_imec0\spikesort_2019_10_14_16_48_42_ks2jrc\2019-09-30_g0_t0.imec0.ap_res.Cells.mat,idle,reasonably good number of cells. super low noise. but no trials :( also i didn't start recording until a few violation trials in so things may crash. but no trials anyway so it doesn't matter. maybe not surprising since first day back since break due to lab cleanup). absolutely nothing until channel 110 on bank 0. bank 1 has most of the cells now. bank 0 has basically nothing. and the most superficial cells are all gone. i think the best arrangement going forward is lowest electrode being 110 bank 0 checkerboard.,18194823631,,1,,,,
A241_bank2_2019_09_14,A241,2019_09_14,bank2,,0,X:\RATTER\PhysData\NP_sorted\Adrian\A241\A241_bank2_2019_09_14\A241_2019-09-14_g0_imec0\spikesort_2019_10_11_11_22_50_ks2jrc\A241_2019-09-14_g0_t0.imec0.ap_res.Cells.mat,idle,,18194823302,,1,,,,
A241_bank2_2019_09_23,A241,2019_09_23,bank2,,0,X:\RATTER\PhysData\NP_sorted\Adrian\A241\A241_bank2_2019_09_23\2019-09-23_g0_imec0\spikesort_2020_01_06_14_14_38_ks2jrc\2019-09-23_g0_t0.imec0.ap_res.Cells.mat,idle,,18194823302,,1,,,,
